"","geoid","pop2010"
"354","12069",297052
"355","12071",618754
"356","12073",275487
"357","12075",40801
"358","12077",8365
"359","12079",19224
"360","12081",322833
"361","12083",331298
"362","12085",146318
"363","12086",2496435
"364","12087",73090
"365","12089",73314
"366","12091",180822
"367","12093",39996
"368","12095",1145956
"369","12097",268685
"370","12099",1320134
"371","12101",464697
"372","12103",916542
"373","12105",602095
"374","12107",74364
"375","12109",190039
"376","12111",277789
"377","12113",151372
"378","12115",379448
"379","12117",422718
"380","12119",93420
"381","12121",41551
"382","12123",22570
"383","12125",15535
"384","12127",494593
"385","12129",30776
"386","12131",55043
"387","12133",24896
"388","13001",18236
"389","13003",8375
"390","13005",11096
"391","13007",3451
"392","13009",45720
"393","13011",18395
"394","13013",69367
"395","13015",100157
"396","13017",17634
"397","13019",19286
"398","13021",155547
"399","13023",13063
"400","13025",18411
"401","13027",16243
"402","13029",30233
"403","13031",70217
"404","13033",23316
"405","13035",23655
"406","13037",6694
"407","13039",50513
"408","13043",10998
"409","13045",110527
"410","13047",63942
"411","13049",12171
"412","13051",265128
"413","13053",11267
"414","13055",26015
"415","13057",214346
"416","13059",116714
"417","13061",3183
"418","13063",259424
"419","13065",6798
"420","13067",688078
"421","13069",42356
"422","13071",45498
"423","13073",124053
"424","13075",17212
"425","13077",127317
"426","13079",12630
"427","13081",23439
"428","13083",16633
"429","13085",22330
"430","13087",27842
"431","13089",691893
"432","13091",21796
"433","13093",14918
"434","13095",94565
"435","13097",132403
"436","13099",11008
"437","13101",4034
"438","13103",52250
"439","13105",20166
"440","13107",22598
"441","13109",11000
"442","13111",23682
"443","13113",106567
"444","13115",96317
"445","13117",175511
"446","13119",22084
"447","13121",920581
"448","13123",28292
"449","13125",3082
"450","13127",79626
"451","13129",55186
"452","13131",25011
"453","13133",15994
"454","13135",805321
"455","13137",43041
"456","13139",179684
"457","13141",9429
"458","13143",28780
"459","13145",32024
"460","13147",25213
"461","13149",11834
"462","13151",203922
"463","13153",139900
"464","13155",9538
"465","13157",60485
"466","13159",13900
"467","13161",15068
"468","13163",16930
"469","13165",8340
"470","13167",9980
"471","13169",28669
"472","13171",18317
"473","13173",10078
"474","13175",48434
"475","13177",28298
"476","13179",63453
"477","13181",7996
"478","13183",14464
"479","13185",109233
"480","13187",29966
"481","13189",21875
"482","13191",14333
"483","13193",14740
"484","13195",28120
"485","13197",8742
"486","13199",21992
"487","13201",6125
"488","13205",23498
"489","13207",26424
"490","13209",9123
"491","13211",17868
"492","13213",39628
"493","13215",189885
"494","13217",99958
"495","13219",32808
"496","13221",14899
"497","13223",142324
"498","13225",27695
"499","13227",29431
"500","13229",18758
"501","13231",17869
"502","13233",41475
"503","13235",12010
"504","13237",21218
"505","13239",2513
"506","13241",16276
"507","13243",7719
"508","13245",200549
"509","13247",85215
"510","13249",5010
"511","13251",14593
"512","13253",8729
"513","13255",64073
"514","13257",26175
"515","13259",6058
"516","13261",32819
"517","13263",6865
"518","13265",1717
"519","13267",25520
"520","13269",8906
"521","13271",16500
"522","13273",9315
"523","13275",44720
"524","13277",40118
"525","13279",27223
"526","13281",10471
"527","13283",6885
"528","13285",67044
"529","13287",8930
"530","13289",9023
"531","13291",21356
"532","13293",27153
"533","13295",68756
"534","13297",83768
"535","13299",36312
"536","13301",5834
"537","13303",21187
"538","13305",30099
"539","13307",2799
"540","13309",7421
"541","13311",27144
"542","13313",102599
"543","13315",9255
"544","13317",10593
"545","13319",9563
"546","13321",21679
"547","15001",185079
"548","15003",953207
"549","15005",90
"550","15007",67091
"551","15009",154834
"552","16001",392365
"553","16003",3976
"554","16005",82839
"555","16007",5986
"556","16009",9285
"557","16011",45607
"558","16013",21376
"559","16015",7028
"560","16017",40877
"561","16019",104234
"562","16021",10972
"563","16023",2891
"564","16025",1117
"565","16027",188923
"566","16029",6963
"567","16031",22952
"568","16033",982
"569","16035",8761
"570","16037",4368
"571","16039",27038
"572","16041",12786
"573","16043",13242
"574","16045",16719
"575","16047",15464
"576","16049",16267
"577","16051",26140
"578","16053",22374
"579","16055",138494
"580","16057",37244
"581","16059",7936
"582","16061",3821
"583","16063",5208
"584","16065",37536
"585","16067",20069
"586","16069",39265
"587","16071",4286
"588","16073",11526
"589","16075",22623
"590","16077",7817
"591","16079",12765
"592","16081",10170
"593","16083",77230
"594","16085",9862
"595","16087",10198
"596","17001",67103
"597","17003",8238
"598","17005",17768
"599","17007",54165
"600","17009",6937
"601","17011",34978
"602","17013",5089
"603","17015",15387
"604","17017",13642
"605","17019",201081
"606","17021",34800
"607","17023",16335
"608","17025",13815
"609","17027",37762
"610","17029",53873
"611","17031",5194675
"612","17033",19817
"613","17035",11048
"614","17037",105160
"615","17039",16561
"616","17041",19980
"617","17043",916924
"618","17045",18576
"619","17047",6721
"620","17049",34242
"621","17051",22140
"622","17053",14081
"623","17055",39561
"624","17057",37069
"625","17059",5589
"626","17061",13886
"627","17063",50063
"628","17065",8457
"629","17067",19104
"630","17069",4320
"631","17071",7331
"632","17073",50486
"633","17075",29718
"634","17077",60218
"635","17079",9698
"636","17081",38827
"637","17083",22985
"638","17085",22678
"639","17087",12582
"640","17089",515269
"641","17091",113449
"642","17093",114736
"643","17095",52919
"644","17097",703462
"645","17099",113924
"646","17101",16833
"647","17103",36031
"648","17105",38950
"649","17107",30305
"650","17109",32612
"651","17111",308760
"652","17113",169572
"653","17115",110768
"654","17117",47765
"655","17119",269282
"656","17121",39437
"657","17123",12640
"658","17125",14666
"659","17127",15429
"660","17129",12705
"661","17131",16434
